id,id_pregunta,opcion
0,0,3
1,0,2
2,0,1
3,0,0
4,1,3
5,1,2
6,1,1
7,1,4
8,2,1
9,2,2
10,2,3
11,2,0
12,3,2
13,3,1
14,3,4
15,3,6
16,4,b
17,4,a
18,4,u
19,4,l
20,5,5
21,5,7
22,5,3
23,5,4
24,6,a
25,6,e
26,6,b
27,6,i
28,7,a
29,7,b
30,7,i
31,7,o
32,8,Amarillo
33,8,Verde
34,8,Morado
35,8,Gris
36,9,Cuadrado
37,9,Circulo
38,9,Rectangulo
39,9,Triangulo
40,10,3
41,10,4
42,10,2
43,10,5
44,11,4
45,11,3
46,11,5
47,11,2
48,12,Respeto
49,12,Futbol
50,12,Amarillo
51,12,Cuadrado
52,13,Un valor
53,13,Un color
54,13,Una fruta
55,13,Una verdura
56,14,Arroz
57,14,Respeto
58,14,Amor
59,14,Tolerancia
60,15,Amarillo
61,15,Fresa
62,15,Alegria
63,15,Gato




















